Dossard;Nom;doigts;mixite;ent
201;equipe_test_1;19155770;F;0
202;equipe_test_2;19155760;M;0
3;Raid Dingue des Torpilles !;1915504;F;1
5;Chamallow;1915515;F;1
7;Gwadaussies;1915517;M;1
9;Delisaline;1915502;F;1
12;.LES TORPILLES;1915511;F;1
13;Fast And Furious;1915506;H;1
15;Pitchou;1915508;F;1
18;Vosgiens un jour, vosgiens toujours;1915523;H;1
19;Dans le rétro;1915520;H;1
21;Victoria et Constant;1915525;M;1
65;les shifteuses;1915524;F;1
27;Les Douts;1915513;M;1
29;CARAVISTOUILLE;1915530;M;1
31;Torpillettes;1915537;F;1
109;Eli & Elvire;1915527;F;0
112;Les Deux Meuh Raids;1915534;H;0
33;Les Galettes Poitevines;1915535;H;1
115;Les MarLéaventurières;1915547;F;0
118;Les Troufions;1915543;M;0
40;Les Binômes;1915538;M;1
41;Les Beaux frères en Cavale;1915533;H;1
43;LA DEGLINGUE;1915548;M;1
45;les Am... d'Orion;1915531;M;1
47;les coachettes d'issy;1915532;F;1
55;LK;1915544;M;1
60;Les 2 E;1915529;F;1
61;Veltri;1915546;H;1
63;R'édi;1915528;M;1
26;Les Derniers Tooms;1915549;M;1
137;Citron - Sucre;1915545;H;0
139;Sucre - Citron;1915541;H;0
67;Les entêtés;1915536;H;1
72;Les Pognons;1915545;H;1
73;Matalang;1915554;M;1
78;Hors Sol;1915567;M;1
79;Poco;1915556;H;1
159;EY1;1915562;M;0
91;Atlas;1915557;H;1
97;Les radis;1915569;M;1
99;EY4;1915551;H;1
82;Vas y ma gueule! ;1915560;M;1
146;Yvette Ornières;1915571;H;0
83;Lespasdouesfontducanoe;1915566;F;1
147;La villa;1915563;H;0
88;DSA;2018954;H;1
